000000..00FFFF; 统一码 (基本多文种平面)
10330..1034F; 哥特
10350..1037F; 古彼尔姆
10380..1039F; 乌加里特
103A0..103DF; 古波斯
10400..1044F; 德撒律
10450..1047F; 萧伯纳
10480..104AF; 伊斯马尼亚
104B0..104FF; 奥色治
10500..1052F; 爱尔巴桑
10530..1056F; 高加索阿尔巴尼亚
10570..105BF; 维斯库奇
10600..1077F; 线形 A
10780..107BF; 拉丁扩充-F
10800..1083F; 塞浦路斯音节文字
10840..1085F; 王朝阿拉姆
10860..1087F; 巴尔米拉
10880..108AF; 奈伯特
108E0..108FF; 哈特拉
10900..1091F; 腓尼基
10920..1093F; 吕底亚
10980..1099F; 麦罗埃圣书体
109A0..109FF; 麦罗埃世俗体
10A00..10A5F; 佉卢
10A60..10A7F; 古南阿拉比亚
10A80..10A9F; 古北阿拉比亚
10AC0..10AFF; 摩尼
10B00..10B3F; 阿维斯塔
10B40..10B5F; 碑铭体帕提亚
10B60..10B7F; 碑铭体巴列维
10B80..10BAF; 诗篇体巴列维
10C00..10C4F; 突厥
10C80..10CFF; 古匈牙利
10D00..10D3F; 哈尼菲罗兴亚
10E60..10E7F; 鲁米数字符号
10E80..10EBF; 耶西迪
10EC0..10EFF; 阿拉伯扩充-C
10F00..10F2F; 古粟特
10F30..10F6F; 粟特
10F70..10FAF; 回鹘
10FB0..10FDF; 花剌子模
10FE0..10FFF; 以利买
11000..1107F; 婆罗米
11080..110CF; 开梯
110D0..110FF; 索拉索姆彭
11100..1114F; 查克马
11150..1117F; 默哈杰内
11180..111DF; 沙勒德
111E0..111FF; 僧伽罗古数字
11200..1124F; 科杰基
11280..112AF; 木尔坦
112B0..112FF; 库达本德
11300..1137F; 格兰他
11400..1147F; 内瓦
11480..114DF; 蒂勒胡塔
11580..115FF; 悉昙
11600..1165F; 莫迪
11660..1167F; 蒙文增补
11680..116CF; 塔克里
11700..1174F; 阿含
11800..1184F; 道格拉
118A0..118FF; 瓦朗奇蒂
11900..1195F; 迪维希阿库鲁
119A0..119FF; 嫩迪城体
11A00..11A4F; 札那巴札尔方形字母
11A50..11AAF; 索永布
11AB0..11ABF; 统一加拿大原住民音节文字扩充-A
11AC0..11AFF; 包钦豪
11B00..11B5F; 天城体扩充-A
11C00..11C6F; 比克舒基
11C70..11CBF; 玛尔钦体
11D00..11D5F; 马萨拉姆贡德
11D60..11DAF; 贡贾尔贡德
11EE0..11EFF; 望加锡
11F00..11F5F; 克维
11FB0..11FBF; 傈僳增补
11FC0..11FFF; 泰米尔增补
12000..123FF; 楔形文字
12400..1247F; 楔形文字数字与标点
12480..1254F; 早王朝楔形文字
12F90..12FFF; 塞浦路斯-米诺斯
13000..1342F; 埃及圣书体
13430..1345F; 埃及圣书体格式控制符
14400..1467F; 安纳托利亚圣书体
16800..16A3F; 巴默姆增补
16A40..16A6F; 姆鲁
16A70..16ACF; 通萨
16AD0..16AFF; 巴索奥瓦
16B00..16B8F; 帕皓苗
16E40..16E9F; 梅代法伊德林
16F00..16F9F; 苗文
16FE0..16FFF; 表意文字符号与标点
17000..187FF; 西夏
18800..18AFF; 西夏构件
18B00..18CFF; 契丹小字
18D00..18D7F; 西夏增补
1AFF0..1AFFF; 假名扩充-B
1B000..1B0FF; 假名增补
1B100..1B12F; 假名扩充-A
1B130..1B16F; 小型假名扩充
1B170..1B2FF; 女书
1BC00..1BC9F; 迪普卢瓦耶
1BCA0..1BCAF; 速记格式控制符
1CF00..1CFCF; 兹纳缅内音乐符号
1D000..1D0FF; 拜占庭音乐符号
1D100..1D1FF; 音乐符号
1D200..1D24F; 古希腊音乐记号
